#Hit,Channel,DayTime,Energy,Duration,Amplitude,ASL,FRQC
3731,10,284.7081952,0,18,46,27,378
3732,12,284.583487,25,1233,58,25,196
3733,11,284.5823418,2,355,46,25,431
3734,10,284.5810468,9,754,47,27,295
3735,6,284.347728,0,34,54,15,396
3736,13,284.3100292,0,0,45,21,376
3737,6,284.1169595,0,1,50,15,705
3738,6,283.3737378,0,2,54,15,594
3739,6,283.3016155,0,1,47,15,742
3740,13,283.299936,0,0,45,21,500
3741,11,282.715126,0,13,47,25,452
3742,11,281.959152,1,153,46,25,458
3743,6,281.379426,1,9,70,15,359
3744,6,281.3787062,1,172,47,15,566
3745,6,281.3774035,17,1105,72,28,282
3746,6,281.1524288,1,109,67,28,377
3747,6,281.1515245,2,23,69,28,295
3748,6,281.150661,1,16,67,28,306
3749,11,280.661178,0,27,45,23,379
3750,6,280.1058685,1,9,68,15,367
3751,6,280.103652,26,666,74,15,293
3752,6,279.9957125,2,175,66,27,441
3753,6,279.994896,2,17,65,27,306
3754,11,279.9917425,0,4,46,23,378
3755,6,279.900937,1,33,67,28,325
3756,6,279.8999885,0,5,56,28,558
3757,6,279.8990725,1,162,67,28,359
3758,6,279.6355668,3,381,64,28,365
3759,6,279.6345035,0,6,59,28,424
3760,6,279.6335365,0,6,59,28,463
3761,6,279.6328435,0,47,53,28,368
3762,10,279.594353,0,13,45,27,363
3763,18,279.5525475,0,27,46,19,363
3764,6,278.2899515,6,240,70,15,284
3765,6,278.2889265,2,155,72,15,361
3766,6,278.2873578,7,82,80,29,272
3767,10,278.074955,0,28,46,27,377
3768,6,278.056145,2,22,69,30,324
3769,6,278.05424,1,6,70,30,353
3770,6,278.0534135,8,299,78,30,31
3771,6,278.0519075,3,121,75,30,282
3772,6,278.050982,5,22,82,30,31
3773,13,277.7359792,0,5,46,21,331
3774,10,277.7359065,6,723,47,27,307
3775,12,277.735538,0,0,45,25,348
3776,10,276.5561338,2,156,48,27,317
3777,6,276.3861655,1,6,71,15,363
3778,6,276.3855588,0,7,64,15,315
3779,6,276.3838155,3,216,73,15,323
3780,6,276.3829738,1,13,68,15,341
3781,6,276.382248,12,161,72,15,345
3782,6,275.5144212,9,729,72,15,294
3783,6,275.491719,0,19,52,23,451
3784,13,274.8994345,1,107,49,21,284
3785,6,274.71029,3,340,71,15,307
3786,6,274.7083005,3,404,71,15,408
3787,6,274.7037565,41,808,88,36,18
3788,7,274.7036332,26,678,49,23,349
3789,1,274.7036325,26,681,49,23,354
3790,3,274.7036318,25,665,49,21,361
3791,4,274.7036315,25,657,49,21,365
3792,5,274.703631,25,660,49,21,362
3793,8,274.7036238,24,632,49,21,377
3794,2,274.7036235,24,641,49,21,362
3795,12,274.6690752,0,44,45,25,319
3796,11,273.5802018,2,29,45,23,387
3797,10,273.5798202,0,9,45,26,348
3798,6,273.4711178,0,1,49,15,761
3799,6,273.4695682,1,202,63,15,472
3800,6,273.4674675,1,7,74,15,279
3801,6,273.4659295,0,7,64,23,332
3802,6,273.1286725,6,252,72,25,279
3803,11,272.765255,11,649,53,23,247
3804,12,272.7645605,0,1,46,25,323
3805,6,272.7223732,2,439,65,23,375
3806,6,272.7208152,10,332,74,23,296
3807,6,272.6675705,1,13,65,27,330
3808,16,272.6261052,0,33,46,21,365
3809,6,272.3933585,1,7,72,26,350
3810,6,272.392334,5,12,81,26,30
3811,10,272.3399245,2,188,48,27,305
3812,13,271.6157155,0,0,45,21,477
3813,6,271.3595095,2,74,63,15,342
3814,6,271.3585692,2,12,76,15,288
