File selected         : C:\tests\ae-tank-txt-summary\mistras-tank-sample-2.txt
File size             : 0.85 MB (893,414 bytes)

Total AEHits          : 10036
Total Channel Count   : 22
Total Channel Missing : 1

Channel         AEHits
      1            170
      2            161
      3            163
      4            164
      5            166
      6           5341
      7            193
      8            157
      9             30
     10            786
     11            605
     12            472
     13            456
     14             54
     15              3
     16            282
     17              0
     18             31
     19              5
     20            125
     21             45
     22            627

HIT DRIVEN DATA:
           Chan          Minimum          Maximum          Average           StdDev
PARA1        16          -0.0146           0.0210           0.0005           0.0065
RISE         16           0.0000         347.0000          35.0745          53.7133
COUN         16           1.0000          63.0000           4.8723           6.8667
ENER         16           0.0000          24.0000           1.2021           2.3977
DURATION     16           0.0000         889.0000          97.6028         136.9133
AMP          16          45.0000          57.0000          46.7447           2.0014
ASL          16          19.0000          32.0000          21.1135           1.0442
A-FRQ        16           0.0000        1000.0000          94.8440         173.0175
FRQ-C        16          38.0000         575.0000         399.4787          61.7641
DayTime      17           0.0000           0.0000           0.0000           0.0000
PARA1        17           0.0000           0.0000           0.0000           0.0000
RISE         17           0.0000           0.0000           0.0000           0.0000
COUN         17           0.0000           0.0000           0.0000           0.0000
ENER         17           0.0000           0.0000           0.0000           0.0000
DURATION     17           0.0000           0.0000           0.0000           0.0000
AMP          17           0.0000           0.0000           0.0000           0.0000
ASL          17           0.0000           0.0000           0.0000           0.0000
A-FRQ        17           0.0000           0.0000           0.0000           0.0000
FRQ-C        17           0.0000           0.0000           0.0000           0.0000
DayTime      18          20.0049        1214.4096         367.2675         336.1517
PARA1        18          -0.0171           0.0122          -0.0003           0.0067
RISE         18           0.0000         310.0000          40.1613          74.8973
COUN         18           1.0000          16.0000           4.5484           4.6964
ENER         18           0.0000           5.0000           1.1613           1.6552
DURATION     18           0.0000         337.0000          78.0968         108.1115
AMP          18          45.0000          51.0000          47.0645           1.8246
ASL          18          19.0000          19.0000          19.0000           0.0000
A-FRQ        18           0.0000         333.0000          88.5484          87.5632
FRQ-C        18          18.0000         440.0000         315.7419          90.4068
DayTime      19         157.7722        1304.5107         538.7336         452.6838
PARA1        19          -0.0040           0.0101           0.0043           0.0060
RISE         19           0.0000          79.0000          22.4000          33.0197
COUN         19           1.0000          29.0000           7.0000          12.3085
ENER         19           0.0000          15.0000           3.0000           6.7082
DURATION     19           0.0000        1242.0000         266.6000         546.2845
AMP          19          45.0000          52.0000          46.4000           3.1305
ASL          19          15.0000          19.0000          15.8000           1.7889
A-FRQ        19           0.0000         182.0000          46.0000          76.9708
FRQ-C        19         252.0000         475.0000         382.2000          88.4743
DayTime      20           6.6856        1390.7224         484.2030         413.5826
PARA1        20          -0.0162           0.0162           0.0013           0.0073
RISE         20           0.0000         216.0000          22.5520          39.5997
COUN         20           1.0000          37.0000           4.3040           5.2918
ENER         20           0.0000          15.0000           0.9760           2.1382
DURATION     20           0.0000         739.0000          79.2240         120.5886
AMP          20          45.0000          58.0000          46.8320           2.3166
ASL          20          19.0000          29.0000          19.0800           0.8944
A-FRQ        20           0.0000        1000.0000         127.5680         156.6974
FRQ-C        20          20.0000         558.0000         350.9600          72.0507
DayTime      21          74.9094        1388.9806         798.1795         411.6348
PARA1        21          -0.0122           0.0162          -0.0003           0.0064
RISE         21           1.0000         150.0000          17.4000          25.9934
COUN         21           1.0000          24.0000           3.6889           3.9819
ENER         21           0.0000          10.0000           0.9333           1.6153
DURATION     21           1.0000         401.0000          54.7333          71.5683
AMP          21          45.0000          53.0000          47.0000           2.0449
ASL          21          19.0000          21.0000          19.1778           0.5756
A-FRQ        21          31.0000        1000.0000         203.9111         290.1203
FRQ-C        21         109.0000         182.0000         163.8889          14.0393
DayTime      22          51.7333        1376.7280         261.3623         225.2716
PARA1        22          -0.0174           0.0210           0.0008           0.0069
RISE         22           1.0000         649.0000          12.8708          43.3658
COUN         22           1.0000          18.0000           2.6587           1.8519
ENER         22           0.0000           8.0000           0.3078           0.7909
DURATION     22           1.0000         831.0000          35.7352          78.4815
AMP          22          45.0000          59.0000          47.2727           2.2154
ASL          22          15.0000          28.0000          21.8884           3.7850
A-FRQ        22           3.0000        1000.0000         202.4769         231.2603
FRQ-C        22         111.0000         175.0000         147.7161          11.1299

Channel wise Hits     22 [170, 161, 163, 164, 166, 5341, 193, 157, 30, 786, 605, 472, 456, 54, 3, 282, 0, 31, 5, 125, 45, 627]
Channel ideal list    22 [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]
Channel present list  21 [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22]
Channel missing list   1 [17]
Channel unique list   21 [11, 9, 10, 12, 13, 20, 1, 14, 7, 16, 22, 6, 21, 8, 18, 5, 4, 2, 3, 19, 15]
Channel difference     1 [17]

Time Start : 2024-07-17 14:18:27.689595
Time Stop  : 2024-07-17 14:18:31.095613
Time Taken : 0:00:03.406018
